"cues","BOI","Concrete","SUBTLEX","AoA","n"
"catfish",5,4.85,1.8062,6.61,22
"cathedral",4.5,4.86,2.281,10.58,16
"catnip",4.52,4.68,1.3424,6.89,15
"catsup",5.074074074,4.85,0.6021,6.65,9
"cattle",4.625,4.64,2.8293,6.53,14
"catwalk",4.652173913,4.15,1.5682,10.32,19
"cauldron",4.8,4.61,1.3979,9.61,16
"cauliflower",5.269230769,5,1.4624,6.18,17
"cavalryman",4.291666667,4.46,0.7782,9.5,10
"caviar",4.818181818,4.7,2.2923,12.83,17
"cayenne",5.347826087,4.22,1.5911,12.81,16
"cedar",4.583333333,4.83,2.1072,9.86,22
"celery",6.086956522,4.8,1.9823,5.78,21
"cellar",4.6,4.68,2.6803,8.94,22
"cellist",4.869565217,4.31,1.3424,11.55,9
"cello",5.038461538,4.96,1.9823,9.89,18
"cellophane",4.703703704,4.54,1.6335,11.47,15
"cement",5.04,4.97,2.3711,6.89,13
"cent",5.12,4.19,2.6848,6,17
"centipede",5.25,4.79,1.3617,7.39,15
"ceramic",4.62962963,4.04,1.7993,8.37,16
"ceramics",5.458333333,4.62,1.4771,9.5,17
"cereal",5.958333333,4.83,2.5119,4.44,17
"certificate",5.041666667,4.59,2.6618,8.42,18
"cervix",4.739130435,4.62,1.3424,14.67,12
"chain",5.958333333,4.55,3.0346,5.22,17
"chair",6.88,4.58,3.4,3.43,20
"chairman",4.965517241,4.31,2.7825,10.84,17
"chairperson",4.44,4.58,0.8451,11,14
"chairwoman",4.347826087,4.41,1.0414,12.95,18
"chalet",4.416666667,4.36,1.4314,13.8,11
"chalice",5.208333333,4.83,1.5185,11.35,18
"chalk",5.92,4.9,2.2648,4.47,15
"chambermaid",4.727272727,4.4,1.5051,11.72,14
"champagne",5.583333333,4.82,3.2033,10.26,18
"chapel",4.52,4.6,2.6096,6.95,19
"chaplain",4.72,4.33,2.0682,12.19,13
"charcoal",4.740740741,4.85,1.959,8,15
"chart",4.428571429,4.48,2.6848,7.59,18
"chauffeur",4.84,4.43,2.4594,9.84,15
